Dataset,Model,Accuracy,Macro_F1,NMI,Validation MAE,Time/Epoch (s),Peak GPU Mem (MB)
Cora,GCN,0.785,0.7791380015335767,0.5814668248331858,N/A,0.030561877250671388,0.0
Cora,GAT,0.781,0.7785148717162834,0.5633958408706254,N/A,0.12998339287439983,0.0
Cora,GraphTransformer,0.506,0.46561006420770845,0.23805720756526624,N/A,0.09647868172327677,0.0
CiteSeer,GCN,0.69,0.6532669166920043,0.42668768501497284,N/A,0.052186861197153725,0.0
CiteSeer,GAT,0.67,0.6454185551172112,0.3945189660799474,N/A,0.18822192319234213,0.0
CiteSeer,GraphTransformer,0.512,0.49268761866626903,0.22256621115043582,N/A,0.11479760535558065,0.0
Ego-Facebook,GCN,0.5714285714285714,0.26677248677248677,0.38342436734158497,N/A,0.01145204480489095,0.0
Ego-Facebook,GAT,0.7571428571428571,0.5733685631841205,0.6417547840058453,N/A,0.03553593667348226,0.0
Ego-Facebook,GraphTransformer,0.8571428571428571,0.8804342804342804,0.7497835404593617,N/A,0.04085404872894287,0.0
